锘夸氦鏄撴椂闂�,鍏紬璐﹀彿ID,鍟嗘埛鍙�,鐗圭害鍟嗘埛鍙�,璁惧鍙�,寰俊璁㈠崟鍙�,鍟嗘埛璁㈠崟鍙�,鐢ㄦ埛鏍囪瘑,浜ゆ槗绫诲瀷,浜ゆ槗鐘舵€�,浠樻閾惰,璐у竵绉嶇被,搴旂粨璁㈠崟閲戦,浠ｉ噾鍒搁噾棰�,寰俊閫€娆惧崟鍙�,鍟嗘埛閫€娆惧崟鍙�,閫€娆鹃噾棰�,鍏呭€煎埜閫€娆鹃噾棰�,閫€娆剧被鍨�,閫€娆剧姸鎬�,鍟嗗搧鍚嶇О,鍟嗘埛鏁版嵁鍖�,鎵嬬画璐�,璐圭巼,璁㈠崟閲戦,鐢宠閫€娆鹃噾棰�,璐圭巼澶囨敞
`2019-08-01 19:51:21,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000398201908011612742914,`ysj1_3_33_18515_20190801195112,`oLYpU0UZWYUoZ_udGR8atHUzdawY,`APP,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怗VIP(1澶�)x1,`,`0.04000,`1.00%,`4.00,`0.00,`
`2019-08-01 20:50:21,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000382201908017627569043,`ysj1_3_33_18519_20190801205012,`oLYpU0e8VcQ9iCahFDOOz12Pu9FA,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満2590\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-01 19:11:01,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000378201908019384203967,`ysj1_3_33_18513_20190801191050,`oLYpU0Xh-VOhC9SD7hFxBjWBuFEk,`APP,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x2,`,`0.04000,`1.00%,`4.00,`0.00,`
`2019-08-01 23:34:07,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000393201908019762359911,`ysj1_3_33_18546_20190801233358,`oLYpU0bdg30pcS39wr2WoP68FM-8,`APP,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怗VIP(1澶�)x1,`,`0.04000,`1.00%,`4.00,`0.00,`
`2019-08-02 15:55:37,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000400201908027242498192,`ysj1_3_33_18584_20190802155533,`oLYpU0WVuQFjAS3AdLkdrD-jo74o,`APP,`SUCCESS,`CFT,`CNY,`28.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(30澶�)x1,`,`0.28000,`1.00%,`28.00,`0.00,`
`2019-08-02 13:27:36,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000383201908025285815703,`ysj1_3_33_18578_20190802132719,`oLYpU0U_CjLvAh_1s6C5xv017XWo,`APP,`SUCCESS,`CFT,`CNY,`28.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1288\ 濂楅VIP(30澶�)x1,`,`0.28000,`1.00%,`28.00,`0.00,`
`2019-08-02 02:36:16,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000393201908029880101003,`ysj1_3_33_18550_20190802023603,`oLYpU0RfsOazOTnw87j6_NtF5Xik,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-02 11:21:12,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000376201908023790308264,`ysj1_3_33_18571_20190802112106,`oLYpU0W78NwVyZ-WtwtTGpoui6Zc,`APP,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈洪挶鍖呭厖鍊�10绉垎,`,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-02 20:47:27,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000385201908022835936952,`ysj1_3_33_18599_20190802204717,`oLYpU0e8VcQ9iCahFDOOz12Pu9FA,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満2590\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-03 00:33:27,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000379201908030632101645,`ysj1_3_33_18619_20190803003320,`oLYpU0UqOAEE-bnnyz0dIPE1dlZ8,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1551\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-03 22:31:40,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000382201908035332845345,`ysj1_3_33_18723_20190803223134,`oLYpU0e8VcQ9iCahFDOOz12Pu9FA,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満2590\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-03 00:34:14,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000401201908035094542068,`ysj1_3_33_18620_20190803003405,`oLYpU0bHlbQpBD60-UmGAz92EUs4,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1549\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-04 20:23:15,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000386201908049524212124,`ysj1_3_33_18906_20190804202301,`oLYpU0e8VcQ9iCahFDOOz12Pu9FA,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満2590\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-04 09:38:09,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000381201908040623439112,`ysj1_3_33_18846_20190804093746,`oLYpU0VELli_MbpNjImTCsglOEHA,`APP,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈洪挶鍖呭厖鍊�10绉垎,`,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-04 17:11:03,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000395201908045836379406,`ysj1_3_33_18881_20190804171050,`oLYpU0WrjyS8BZOiOX-sL3-gSBug,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-04 17:45:44,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000387201908046995097393,`ysj1_3_33_18884_20190804174542,`oLYpU0cRpET555yU-eBwAYH7VPCY,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-04 21:02:45,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000392201908040057532858,`ysj1_3_33_18910_20190804210232,`oLYpU0auReFSYjZn74ZOxSvfqdHQ,`APP,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怗VIP(30澶�)x1,`,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-04 18:41:06,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000383201908040871840948,`ysj1_3_33_18891_20190804184102,`oLYpU0XtK_F6PKDN8kNagKSBA7NI,`APP,`SUCCESS,`CFT,`CNY,`8.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(5澶�)x1,`,`0.08000,`1.00%,`8.00,`0.00,`
`2019-08-04 12:18:26,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000385201908048698888049,`ysj1_3_33_18862_20190804121812,`oLYpU0bHlbQpBD60-UmGAz92EUs4,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-05 18:48:53,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000394201908052709290930,`ysj1_3_33_18989_20190805184853,`oLYpU0S8Gs8X7JIf7Qh01N4uiZ3U,`APP,`SUCCESS,`CMB_CREDIT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-06 00:40:28,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000384201908067747079707,`ysj1_3_33_19020_20190806004022,`oLYpU0XtPEUCIitdkIQdo5pfbnS8,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-06 15:26:28,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000373201908069054570558,`ysj1_3_33_19039_20190806152628,`oLYpU0VaiV9tXk57i-mVbZ8ytxqY,`APP,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満378\ 濂楅GVIP(1澶�)x1,`,`0.04000,`1.00%,`4.00,`0.00,`
`2019-08-06 18:20:22,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000398201908069460836981,`ysj1_3_33_19047_20190806182020,`oLYpU0cJgXQDOP-kjWE5I5v1zSfo,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-07 21:33:15,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000391201908075330879863,`ysj1_3_33_19112_20190807213315,`oLYpU0b8ePgUf8tz11irpdEclbZY,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-08 13:20:41,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000372201908085468996868,`ysj1_3_33_19151_20190808131936,`oLYpU0dmKy9CqLrKZKp5XmOA8t6k,`APP,`SUCCESS,`CFT,`CNY,`28.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(30澶�)x1,`,`0.28000,`1.00%,`28.00,`0.00,`
`2019-08-08 04:06:15,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000400201908085010321775,`ysj1_3_33_19143_20190808040616,`oLYpU0R_rbnLoPqTzNJ3Kq40BHhQ,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-09 22:37:49,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000391201908099931598744,`ysj1_3_33_19281_20190809223800,`oLYpU0bQFlu4D8M5DJWjyNzCvbns,`APP,`SUCCESS,`CFT,`CNY,`8.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(5澶�)x1,`,`0.08000,`1.00%,`8.00,`0.00,`
`2019-08-09 07:50:28,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000397201908095772959658,`ysj1_3_33_19227_20190809075036,`oLYpU0R_rbnLoPqTzNJ3Kq40BHhQ,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-10 13:58:13,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000372201908104660693227,`ysj1_3_33_19331_20190810135823,`oLYpU0Xh-VOhC9SD7hFxBjWBuFEk,`APP,`SUCCESS,`CFT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x3,`,`0.06000,`1.00%,`6.00,`0.00,`
`2019-08-10 07:24:11,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000391201908102927275903,`ysj1_3_33_19303_20190810072418,`oLYpU0Xh-VOhC9SD7hFxBjWBuFEk,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-11 23:22:18,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000389201908114931283150,`ysj1_3_33_19427_20190811232232,`oLYpU0cxngdOYps8OyVooXl87h-o,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-12 22:37:47,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000379201908123542521929,`ysj1_3_33_19486_20190812223804,`oLYpU0VU0Vm15A8sAW5wixmOjx0U,`APP,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怗VIP(30澶�)x1,`,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-12 13:56:48,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000381201908122298158175,`ysj1_3_33_19464_20190812135706,`oLYpU0TdbEaEY727GEzK_Sx-dGI4,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1448\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-12 23:25:11,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000388201908129743519456,`ysj1_3_33_19490_20190812232525,`oLYpU0T3aKHI7q7ukMhxXi_7N778,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1457\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-12 13:32:36,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000392201908121473063539,`ysj1_3_33_19463_20190812133249,`oLYpU0TzkFpCvWwAxcu6siF7hCPo,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-12 00:40:50,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000379201908125585344761,`ysj1_3_33_19430_20190812004103,`oLYpU0YZ36QRv81qvJGRkh94_yKU,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈虹画璐逛簯鎵嬫満1409\ 濂楅VIP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-13 19:30:11,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000379201908130683448295,`ysj1_3_33_19531_20190813193029,`oLYpU0TdbEaEY727GEzK_Sx-dGI4,`APP,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怴IP(1澶�)x1,`,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-13 15:27:40,`wx6eac05b5e8893ea2,`1518597551,`0,`,`4200000373201908130907387893,`ysj1_3_33_19522_20190813152757,`oLYpU0T3aKHI7q7ukMhxXi_7N778,`APP,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`浜戞墜鏈鸿喘涔板椁怗VIP(30澶�)x1,`,`0.48000,`1.00%,`48.00,`0.00,`
