支付宝交易记录明细查询
账号:[wc101088@163.com]
起始日期:[2019-08-01 00:00:00]    终止日期:[2019-09-01 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2019083122001426370513110622	,45672547087432907926370	,2019-08-31 20:31:50 ,2019-08-31 20:31:57 ,2019-08-31 20:32:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*宁              ,商品                  ,900.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001426370512721394	,45672545657432907926370	,2019-08-31 20:29:27 ,2019-08-31 20:29:33 ,2019-08-31 20:30:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*宁              ,商品                  ,900.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001465210578370590	,45672460092112483965216	,2019-08-31 18:06:49 ,2019-08-31 18:06:59 ,2019-08-31 18:07:52 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*爱明             ,商品                  ,100.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001459970540042285	,45672440159002761059972	,2019-08-31 17:33:36 ,2019-08-31 17:33:40 ,2019-08-31 17:34:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*晶              ,商品                  ,180.01  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001475860533226666	,45672438693502384275864	,2019-08-31 17:31:10 ,2019-08-31 17:31:16 ,2019-08-31 17:32:00 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*东铭             ,商品                  ,180.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001417590522143009	,45672413391502742817596	,2019-08-31 16:48:59 ,2019-08-31 16:49:02 ,2019-08-31 16:49:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*金              ,商品                  ,10.00   ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001410570507024808	,45672375359512036310571	,2019-08-31 15:45:36 ,2019-08-31 15:45:43 ,2019-08-31 15:46:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*林超             ,商品                  ,100.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001492090560646661	,45672331971912892592092	,2019-08-31 14:33:17 ,2019-08-31 14:33:20 ,2019-08-31 14:34:06 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*凯              ,商品                  ,60.00   ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001496640581303998	,45672326479212179296643	,2019-08-31 14:24:09 ,2019-08-31 14:24:16 ,2019-08-31 14:24:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*莉彬             ,商品                  ,10.00   ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2019083122001459990555353357	,45672324781522041259992	,2019-08-31 14:21:19 ,2019-08-31 14:21:24 ,2019-08-31 14:22:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*亮亮             ,商品                  ,180.00  ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
